ra,dec,mag_r,type
184.0816990052001,-5.008778813161175,18.14566,SER
122.89049861713488,20.28468039632682,16.04921,SER
159.848449707,37.3186798096,16.644487,SER
11.23542517506398,-64.03219816951601,18.79265,SER
118.99981683626781,12.981464539004008,inf,DUP
205.7073480038667,13.135603626340457,17.328562,REX
125.81840577866822,23.147663192206394,17.590591,SER
52.9885329,-27.713274,24.207693,REX
150.7672846,2.3907158,23.080526,REX
150.17763,2.4993863,24.714012,REX
224.741897583,33.5371932983,16.448324,SER
243.69243086912073,18.341743446359647,inf,DUP
232.43168077818197,29.87873346114606,16.676413,REX
150.515875,2.1283583,24.206942,REX
25.590486779798933,-10.240058495912827,16.695496,SER
53.075356000000006,-27.85542,25.22095,PSF
352.56944849575103,-43.2221280863398,18.717522,SER
194.89880626349668,12.531913244214381,17.473562,SER
218.043289185,6.78207588196,16.4425,SER
141.26957048043283,14.685597981747394,16.995691,SER
232.17313947159053,3.880846060634207,16.910582,SER
36.61543103935645,-54.670752332730125,18.274488,SER
150.2992962,1.846312,22.852945,REX
349.93212355396474,-47.08822629220777,15.842576,SER
28.556360666573628,-40.70640654066428,18.692888,SER
76.18817862824258,-56.90152016594236,18.497135,SER
183.019973755,13.9724912643,16.486828,SER
176.97765778761024,-0.2498141305623655,17.29408,DEV
149.5134906,2.3268917,22.466196,REX
216.496383667,43.2895965576,16.27894,SER
162.715988159,40.1711082458,inf,DUP
242.07553999874003,18.73614630541389,inf,DUP
214.90238663317703,5.619263194494569,17.440886,SER
220.35498603691892,10.161951988552733,16.277378,SER
170.654251099,59.9489860535,16.220469,SER
243.18859356403775,14.920589551628158,16.874044,SER
134.0109521596927,32.297092977651424,17.263132,SER
150.13343999999995,2.237622,22.365067,SER
121.57843406277243,18.04289805507173,16.298763,EXP
151.123977661,0.6889346838,16.618252,SER
169.93371325439978,28.95806643981327,16.801363,SER
150.1440661,1.7019578,23.200506,REX
15.986402576711681,3.1721890404603763,16.19344,SER
133.46711518899417,32.65960415148734,16.93274,REX
203.4532696394181,-2.3214390293425313,16.670635,SER
217.85863853976196,26.37874895162658,17.32031,SER
209.079772949,20.1013469696,15.280587,SER
217.85210773884006,10.694611981041982,16.695463,SER
307.5965965921617,-61.47679656004628,17.32623,REX
160.600830078,-0.138122305274,inf,DUP
354.30235988843117,-2.1996164337688575,16.113735,SER
147.03985559698393,2.5289568339708164,16.749859,SER
235.73881686997606,27.913401156978193,15.472853,SER
177.797546387,8.12800693512,16.864273,SER
133.91874330338155,25.00446139499822,21.520052,PSF
53.189462,-27.904291,20.384281,EXP
223.915542603,22.4060077667,inf,DUP
185.7199618585487,6.679753770800849,14.429487,SER
149.5399838,2.3300254,23.571535,EXP
199.76472573053434,1.287801260647233,17.257448,SER
121.90207081604906,6.208642003940815,16.635014,SER
337.26271642963945,-0.9662630342443044,17.529345,SER
194.5786039030858,-2.040411237154718,17.939875,SER
124.60474242607928,9.647655036319453,16.332998,SER
239.63903630329585,3.0822510559744454,16.933117,SER
230.314666748,25.1945781708,16.060726,DEV
173.702667236,54.5620765686,15.93945,SER
194.650649205913,-2.329643406792105,18.112677,SER
167.3534998075575,18.874317490899912,17.264997,SER
226.420089722,3.909123659130001,16.542429,SER
189.18201771018124,-1.2445196220083037,17.83616,SER
172.13368225099998,62.9205741882,inf,DUP
149.5753285,2.5313571,24.156185,REX
148.0746655241162,-8.360885404105193,18.443045,SER
256.2995912029655,25.063893044529333,16.494915,SER
344.608018003756,-58.18101782434823,17.739925,SER
255.92277602828534,24.86108138278987,15.963593,SER
238.30989008763086,9.445113187597864,16.407587,DEV
137.02540767498422,18.84901839103615,14.616062,SER
185.031890869,15.488040924100002,16.420382,SER
211.96511012913487,8.234217403464948,16.852861,SER
355.3580481316316,-0.6622105465480578,inf,DUP
195.905944824,19.2713851929,16.703985,SER
204.6661341120624,-2.9464885650714554,18.162487,SER
5.26563977956245,-26.809375946433764,18.541138,SER
187.957290649,49.012008667,16.736767,SER
207.393112183,27.1213874817,inf,DUP
213.561935425,19.7438220978,16.607452,SER
217.318313599,39.850395202600005,16.608517,REX
158.15831559245592,5.263547943025723,16.69101,SER
178.191467285,43.044914245600005,inf,DUP
216.25732090926658,31.452145540710045,17.715904,REX
150.5154995,2.3652324,22.970097,SER
211.0841147454591,21.884104685014304,16.52677,SER
182.199966431,8.679597854610002,16.954714,SER
141.202957153,49.3982658386,16.045582,DEV
246.64255780960085,14.61593786137819,17.385654,SER
214.5673309,52.6804444,23.408691,REX
149.8062953,1.6920678,21.59501,REX
150.6219256,2.5525593,22.279316,SER
148.093475342,58.9392356873,15.768799,DEV
229.45338299124853,4.997079193302454,17.268532,SER
150.06492,2.3092647,24.090153,REX
227.102539062,5.53412151337,16.818611,SER
191.414047241,43.6337623596,16.515291,SER
181.59961766947606,0.0367515903993445,18.397896,SER
176.93537775793897,20.86808235904859,17.627773,SER
52.9139894,-27.6030403,24.00164,EXP
171.95681063003545,29.150194290303894,16.775227,SER
226.91212113254645,9.891348138306636,15.539497,SER
165.51541098954624,20.823418676736615,15.073366,SER
118.6246689104673,20.37952971774428,17.369638,SER
242.2011974763085,12.951631612505455,15.551358,SER
248.01795302308463,20.87232455444392,16.776653,SER
243.7539389920224,27.12746280587254,17.44128,SER
7.07714176910535,3.3837326720277248,13.775212,SER
42.82845857815396,-7.707111647046884,17.600254,SER
189.35693665806207,-0.7240970341253194,17.269924,SER
211.645721436,20.589223861700003,15.93688,SER
53.779539586665365,-40.88359188757913,18.503036,SER
